City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
9,Cape Town,ZA,75.61,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
15,Isangel,VU,75.78,overcast clouds,-19.55,169.2667,Tanna Lodge
19,Bredasdorp,ZA,72.52,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
27,Atuona,PF,78.28,light rain,-9.8,-139.0333,Villa Enata
35,Rikitea,PF,77.07,broken clouds,-23.1203,-134.9692,People ThankYou
58,Saint-Philippe,RE,77.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
62,Sao Filipe,CV,74.71,clear sky,14.8961,-24.4956,Hotel Xaguate
69,Sibolga,ID,79.32,very heavy rain,1.7427,98.7792,Hotel Syariah CN Darussalam
72,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
73,Lianzhou,CN,75.27,scattered clouds,24.7811,112.3825,Qingcheng Tourism Industry
75,Itoman,JP,78.82,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
80,Hermanus,ZA,75.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
84,Cockburn Town,TC,74.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
90,Micomeseng,GQ,77.63,moderate rain,2.1462,10.6164,
92,Bubaque,GW,77.81,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
93,Dingle,PH,78.62,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
96,Yulara,AU,71.44,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
97,Teahupoo,PF,71.56,light rain,-17.8333,-149.2667,Vanira Lodge
104,Mahebourg,MU,79.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
106,Kieta,PG,79.7,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
111,Acapulco,MX,75.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
118,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
120,Ughelli,NG,79.59,moderate rain,5.4899,6.0074,Prestige Hotel
122,Oltu,TR,70.48,light rain,40.5498,42.0013,Oltu Öğretmenevi
124,Lazaro Cardenas,MX,79.61,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
125,Puerto Ayora,EC,73.83,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
131,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
135,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
137,Bengkulu,ID,79.14,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
143,Valreas,FR,75.61,few clouds,44.3837,4.9908,Maison d'Anvers
148,Bunia,CD,75.4,light rain,1.5667,30.25,Gold Star International Hotel
156,Ishigaki,JP,78.93,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
161,Moerai,PF,79.72,scattered clouds,-22.4333,-151.3333,Le Manotel
165,Komsomolskiy,UZ,70.52,clear sky,40.4272,71.7189,Ikathouse
169,Ixtapa,MX,74.23,clear sky,20.7,-105.2,hotel la terminal
181,Nuevitas,CU,79.95,broken clouds,21.5453,-77.2644,Hotel Caonaba
185,Kalabo,ZM,77.11,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
189,Tshikapa,CD,72.77,moderate rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
196,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
201,Sanming,CN,73.22,light rain,26.2486,117.6186,Sanming Huangting Lijing Hotel
203,Eskisehir,TR,75.92,clear sky,39.7767,30.5206,Hotel ibis Eskisehir
