City_ID,City,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Port Alfred,-33.5906,26.891,68.18,68.18,70,1,7,ZA,clear sky
1,Nantucket,41.2835,-70.0995,55.02,57.31,85,100,16.11,US,overcast clouds
2,Prince Albert,53.2001,-105.7677,35.55,35.55,64,75,16.11,CA,broken clouds
3,Vaini,-21.2,-175.2,73.56,73.56,68,20,5.75,TO,few clouds
4,Berlevag,70.8578,29.0864,22.8,24.75,86,75,19.57,NO,light snow
5,Taltal,-25.4,-70.4833,68.18,68.18,63,0,5.41,CL,clear sky
6,Manicore,-5.8092,-61.3003,86.61,86.61,61,100,2.86,BR,overcast clouds
7,Eucaliptus,-17.5833,-67.5167,54.01,54.01,13,14,1.52,BO,few clouds
8,Tilichiki,60.4667,166.1,31.77,31.77,99,100,6.06,RU,overcast clouds
9,Cape Town,-33.9258,18.4232,73.9,75.61,42,0,8.05,ZA,clear sky
10,Okhotsk,59.3833,143.3,26.15,26.15,72,100,9.75,RU,overcast clouds
11,Te Anau,-45.4167,167.7167,43.39,43.39,95,13,1.28,NZ,few clouds
12,Albany,42.6001,-73.9662,40.23,47.35,71,56,15.01,US,broken clouds
13,Punta Arenas,-53.15,-70.9167,39.11,39.31,65,20,13.8,CL,few clouds
14,Nemuro,43.3236,145.575,43.07,43.07,60,4,22.1,JP,clear sky
15,Isangel,-19.55,169.2667,75.78,75.78,73,97,12.95,VU,overcast clouds
16,Hithadhoo,-0.6,73.0833,83.88,83.88,74,100,5.41,MV,overcast clouds
17,Tuktoyaktuk,69.4541,-133.0374,6.8,6.8,85,100,5.75,CA,light snow
18,Flinders,-34.5833,150.8552,62.06,64.18,94,98,5.99,AU,overcast clouds
19,Bredasdorp,-34.5322,20.0403,72.52,72.52,39,5,10.2,ZA,clear sky
20,Ushuaia,-54.8,-68.3,35.22,35.26,93,75,9.22,AR,broken clouds
21,Krasnoselkup,65.7,82.4667,33.57,33.57,98,100,22.37,RU,overcast clouds
22,Dejen,10.1667,38.1333,68.99,68.99,42,95,4.81,ET,overcast clouds
23,Aden,12.7794,45.0367,84.06,84.06,76,33,14.88,YE,scattered clouds
24,Ponta Do Sol,32.6667,-17.1,66.13,68.72,68,19,2.04,PT,few clouds
25,Hilo,19.7297,-155.09,67.73,73.27,91,75,4.61,US,broken clouds
26,Coquimbo,-29.9533,-71.3436,60.53,60.53,67,0,10.36,CL,clear sky
27,Atuona,-9.8,-139.0333,78.28,78.28,77,35,22.28,PF,light rain
28,San Juan,-31.5375,-68.5364,60.03,60.03,33,0,13.31,AR,clear sky
29,Meiktila,20.8667,95.8667,96.48,96.48,23,23,3.58,MM,few clouds
30,Anadyr,64.75,177.4833,30,30.7,86,75,17.9,RU,light snow
31,Puteyets,65.1716,57.091,31.68,31.68,62,99,5.88,RU,overcast clouds
32,Bluff,-46.6,168.3333,51.8,51.8,82,82,5.82,NZ,broken clouds
33,New Norfolk,-42.7826,147.0587,55.65,57.9,87,100,1.99,AU,light rain
34,Qaanaaq,77.484,-69.3632,17.67,17.67,69,17,5.28,GL,few clouds
35,Rikitea,-23.1203,-134.9692,77.07,77.07,73,61,21.94,PF,broken clouds
36,Provideniya,64.3833,-173.3,26.26,26.26,92,55,7.18,RU,broken clouds
37,Busselton,-33.65,115.3333,60.24,60.24,61,100,5.5,AU,overcast clouds
38,Mataura,-46.1927,168.8643,51.48,51.48,98,8,1.95,NZ,clear sky
39,Kamloops,50.6665,-120.3192,32.76,35.58,68,20,5.01,CA,few clouds
40,North Battleford,52.7834,-108.2847,35.69,37.4,80,75,26.46,CA,broken clouds
41,Mar Del Plata,-38.0023,-57.5575,57.22,58.87,73,0,17.27,AR,clear sky
42,Arraial Do Cabo,-22.9661,-42.0278,82.26,82.36,65,0,20.71,BR,clear sky
43,Esperance,-33.8667,121.9,58.84,58.84,82,79,11.23,AU,broken clouds
44,Hay River,60.8156,-115.7999,30.16,31.98,80,75,3.44,CA,broken clouds
45,Sfantu Gheorghe,45.8667,25.7833,54.82,55.92,92,99,5.57,RO,overcast clouds
46,Sur,22.5667,59.5289,92.53,92.53,41,19,4.79,OM,few clouds
47,Otelu Rosu,45.5333,22.3667,64.67,64.67,60,30,3.2,RO,scattered clouds
48,Ribeira Grande,38.5167,-28.7,66.6,66.6,88,75,11.5,PT,broken clouds
49,Jamestown,42.097,-79.2353,30.52,34.52,76,100,8.05,US,light snow
50,Nikolskoye,59.7035,30.7861,34.92,37.8,55,98,6.46,RU,light rain
51,Birjand,32.8663,59.2211,84.67,84.67,15,40,6.91,IR,scattered clouds
52,Fairbanks,64.8378,-147.7164,30.49,37.36,79,100,4.61,US,overcast clouds
53,Longyearbyen,78.2186,15.6401,3.04,3.04,60,75,12.66,SJ,broken clouds
54,Upernavik,72.7868,-56.1549,34.12,34.12,78,100,8.88,GL,overcast clouds
55,Aklavik,68.2191,-135.0107,19.18,19.18,96,100,6.24,CA,overcast clouds
56,Tiksi,71.6872,128.8694,-2.18,-2.18,100,80,3.51,RU,broken clouds
57,Kapaa,22.0752,-159.319,67.48,71.92,94,75,8.05,US,broken clouds
58,Saint-Philippe,-21.3585,55.7679,74.1,77.22,82,80,4.61,RE,light rain
59,Antigonish,45.6169,-61.9986,43.83,46.27,91,100,5.01,CA,overcast clouds
60,Ornskoldsvik,63.2909,18.7153,40.15,40.15,30,100,12.66,SE,overcast clouds
61,Benguela,-12.5763,13.4055,81.7,81.7,71,91,8.99,AO,overcast clouds
62,Sao Filipe,14.8961,-24.4956,74.71,74.71,66,4,10.13,CV,clear sky
63,San Cristobal,7.7669,-72.225,66.38,66.38,91,100,3.2,VE,overcast clouds
64,Zaysan,47.4667,84.8667,51.51,51.51,32,3,5.14,KZ,clear sky
65,Bethel,41.3712,-73.414,47.23,51.58,62,0,12.66,US,clear sky
66,Mount Gambier,-37.8333,140.7667,62.51,62.51,82,100,10.36,AU,overcast clouds
67,Sitka,57.0531,-135.33,39.09,39.09,87,100,0,US,overcast clouds
68,Issia,6.4922,-6.5856,86.79,86.79,56,100,4.72,CI,overcast clouds
69,Sibolga,1.7427,98.7792,79.32,79.32,88,100,1.39,ID,very heavy rain
70,Baykit,61.67,96.37,26.46,26.46,89,28,1.54,RU,scattered clouds
71,Ekibastuz,51.6667,75.3667,63.09,63.09,39,94,7.38,KZ,overcast clouds
72,Bambous Virieux,-20.3428,57.7575,75.22,79.05,73,20,6.91,MU,light rain
73,Lianzhou,24.7811,112.3825,75.27,75.27,94,39,2.19,CN,scattered clouds
