City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Aksarayskiy,46.7924,48.0119,60.33,39,12,8.23,RU,2022-04-21 19:10:20
1,Bluff,-46.6,168.3333,46.8,75,100,22.86,NZ,2022-04-21 19:10:21
2,Saint George,37.1041,-113.5841,81.79,17,0,14.97,US,2022-04-21 19:07:44
3,Novaya Bryan,51.7159,108.2691,27.93,79,70,3.2,RU,2022-04-21 19:10:21
4,Hof,50.3167,11.9167,46.45,94,100,11.5,DE,2022-04-21 19:10:21
5,Georgetown,5.4112,100.3354,84.13,84,20,0.0,MY,2022-04-21 19:10:22
6,Bogorodskoye,56.55,37.8833,43.29,87,100,6.02,RU,2022-04-21 19:10:22
7,Belaya Gora,68.5333,146.4167,8.49,99,100,4.72,RU,2022-04-21 19:10:22
8,Tura,25.5198,90.2201,70.84,78,1,3.91,IN,2022-04-21 19:10:23
9,Petatlan,17.5167,-101.2667,85.8,37,0,8.39,MX,2022-04-21 19:10:24
10,Rikitea,-23.1203,-134.9692,71.24,91,100,8.3,PF,2022-04-21 19:10:24
11,Butaritari,3.0707,172.7902,80.82,80,100,12.62,KI,2022-04-21 19:10:24
12,Puntarenas,9.9763,-84.8384,89.69,48,28,10.96,CR,2022-04-21 19:09:00
13,Olinda,-8.0089,-34.8553,83.93,65,20,9.22,BR,2022-04-21 19:10:25
14,Vaini,-21.2,-175.2,69.96,100,20,2.3,TO,2022-04-21 19:10:25
15,Kodiak,57.79,-152.4072,40.51,65,75,14.97,US,2022-04-21 19:10:25
16,Sitka,57.0531,-135.33,46.29,66,20,6.91,US,2022-04-21 19:10:26
17,Tawala,9.5542,123.7696,80.2,85,100,10.98,PH,2022-04-21 19:10:26
18,Yuncheng,35.0231,110.9928,62.37,27,14,2.1,CN,2022-04-21 19:10:26
19,High Prairie,55.4334,-116.4858,42.48,54,97,6.91,CA,2022-04-21 19:10:27
20,Saint-Augustin,51.226,-58.6502,35.24,91,18,8.9,CA,2022-04-21 19:06:37
21,Punta Arenas,-53.15,-70.9167,46.51,61,75,20.71,CL,2022-04-21 19:07:08
22,Wilmington,34.2257,-77.9447,73.94,58,0,10.36,US,2022-04-21 19:10:26
23,Norman Wells,65.282,-126.8329,29.82,75,100,6.87,CA,2022-04-21 19:10:27
24,Thompson,55.7435,-97.8558,32.32,64,100,5.57,CA,2022-04-21 19:10:27
25,Kollam,8.8833,76.6,81.28,82,100,3.6,IN,2022-04-21 19:08:52
26,Busselton,-33.65,115.3333,56.48,69,0,13.31,AU,2022-04-21 19:10:28
27,Fairbanks,64.8378,-147.7164,41.81,47,0,3.44,US,2022-04-21 19:06:06
28,Youkounkoun,12.5333,-13.1333,98.64,15,10,1.97,GN,2022-04-21 19:10:28
29,Airai,-8.9266,125.4092,59.27,90,56,3.24,TL,2022-04-21 19:10:29
30,Ashibetsu,43.5097,142.1856,48.61,65,100,4.92,JP,2022-04-21 19:10:29
31,Puerto Ayora,-0.7393,-90.3518,80.56,81,45,9.86,EC,2022-04-21 19:10:29
32,Mar Del Plata,-38.0023,-57.5575,66.22,49,0,9.22,AR,2022-04-21 19:07:43
33,Barrow,71.2906,-156.7887,3.22,85,0,14.97,US,2022-04-21 19:10:30
34,Cidreira,-30.1811,-50.2056,72.88,65,50,5.66,BR,2022-04-21 19:10:30
